translationId,countryCode,continentCode
myajvb,MM,AS
dao,MM,AS
cekak,MM,AS
hltmcsb,MM,AS
hlt,MM,AS
hltthb,MM,AS
csy,MM,AS
cth,MM,AS
dnv,MM,AS
cfm,MM,AS
kyuk,MM,AS
kyu,MM,AS
kxf,MM,AS
pll,MM,AS
rki,MM,AS
rhgc,MM,AS
rhg,MM,AS
tvn,MM,AS
zypNT,BM,NA
atbNT,BM,NA
sbs,NA,AF
gvr,NP,AS
kjl,NP,AS
lifNT2,NP,AS
lifNT,NP,AS
npiulb,NP,AS
npi2010,NP,AS
new,NP,AS
xsr,NP,AS
suzBl,NP,AS
taj,NP,AS
tcn,NP,AS
npioncb,NP,AS
nld,NL,EU
nld1939,NL,EU
nldnbg,NL,EU
cam,NC,OC
priNT,NC,OC
mri2012,NZ,OC
mri,NZ,OC
fuh,NE,AF
kby,NE,AF
ttqt,NE,AF
ttq,NE,AF
mgj,NG,AF
idc,NG,AF
amo,NG,AF
aqk,NG,AF
bsj,NG,AF
buj,NG,AF
bvw,NG,AF
bqcsim,NG,AF
bus,NG,AF
jid,NG,AF
zbu,NG,AF
bqp,NG,AF
asg,NG,AF
ldb,NG,AF
eka,NG,AF
utr,NG,AF
fuv,NG,AF
gqa,NG,AF
gyz,NG,AF
glwl,NG,AF
gde,NG,AF
gdf,NG,AF
hausa,NG,AF
hauulb,NG,AF
dud,NG,AF
hwo,NG,AF
ibo,NG,AF
ikkNT,NG,AF
ikwNT,NG,AF
iqw,NG,AF
atgNT,NG,AF
izz,NG,AF
jni,NG,AF
jib,NG,AF
krh,NG,AF
khj,NG,AF
mfm,NG,AF
mfo,NG,AF
mbu,NG,AF
sur,NG,AF
pcm,NG,AF
ninNT,NG,AF
plj,NG,AF
xsn,NG,AF
yer,NG,AF
kdlNT,NG,AF
kdl,NG,AF
tswNT,NG,AF
tsw,NG,AF
uth,NG,AF
gel,NG,AF
wja,NG,AF
yor,NG,AF
noblb,NO,EU
bcc,PK,AS
bccl,PK,AS
urdgvr,PK,AS
urdgvu,PK,AS
urd,PK,AS
vgr,PK,AS
urdoucv,PK,AS
sabNT,PM,NA
empNTpo,PM,NA
kvnNT,PM,NA
cuk09,PM,NA
gymNT,PM,NA
cuk,PM,NA
tfrNTpo,PM,NA
kud,PG,OC
kud2014,PG,OC
aau,PG,OC
adz,PG,OC
agd,PG,OC
spm,PG,OC
amp,PG,OC
gah,PG,OC
amm,PG,OC
amn-n,PG,OC
amn-amanab,PG,OC
abt-maprik,PG,OC
aey,PG,OC
aby,PG,OC
agm,PG,OC
akh,PG,OC
agg,PG,OC
boj,PG,OC
boj2014,PG,OC
aak,PG,OC
aui,PG,OC
ena,PG,OC
aon,PG,OC
mwc,PG,OC
apr,PG,OC
msy2020,PG,OC
msy,PG,OC
avt,PG,OC
awb,PG,OC
awx,PG,OC
auy,PG,OC
bbb,PG,OC
mlp,PG,OC
bch,PG,OC
bjk,PG,OC
bjz,PG,OC
byr,PG,OC
bbd,PG,OC
beo,PG,OC
bef,PG,OC
big,PG,OC
big2013,PG,OC
bhl,PG,OC
bhg,PG,OC
bon,PG,OC
bjr,PG,OC
mux,PG,OC
bnp,PG,OC
gai,PG,OC
ksr,PG,OC
bzh,PG,OC
mmo,PG,OC
buk2013,PG,OC
bxh,PG,OC
bxh24,PG,OC
buk,PG,OC
apeB,PG,OC
apec,PG,OC
bdd,PG,OC
bwd,PG,OC
tte,PG,OC
tteo,PG,OC
cjv,PG,OC
mps,PG,OC
dgz,PG,OC
aso,PG,OC
dww,PG,OC
ded,PG,OC
dob,PG,OC
kqc,PG,OC
kjs,PG,OC
etr,PG,OC
enq2,PG,OC
mcq,PG,OC
nou,PG,OC
fai,PG,OC
bjp,PG,OC
faa,PG,OC
aoj-filifita,PG,OC
fag,PG,OC
ppo,PG,OC
for,PG,OC
pwg,PG,OC
bmk,PG,OC
bbr,PG,OC
bbr2013,PG,OC
tof,PG,OC
gvf,PG,OC
ghs,PG,OC
gvs,PG,OC
dah,PG,OC
hla,PG,OC
wos,PG,OC
tmd,PG,OC
hui,PG,OC
yml,PG,OC
ian,PG,OC
viv,PG,OC
imo,PG,OC
ino,PG,OC
ino2013,PG,OC
ipi,PG,OC
kbm,PG,OC
iws,PG,OC
nca,PG,OC
kqf,PG,OC
kmh,PG,OC
bco,PG,OC
kbq,PG,OC
kms,PG,OC
xla,PG,OC
soq,PG,OC
kqw,PG,OC
gam,PG,OC
wat,PG,OC
kmu,PG,OC
knb,PG,OC
tbx,PG,OC
leu,PG,OC
yuj,PG,OC
khs,PG,OC
kmg,PG,OC
ksd,PG,OC
khz,PG,OC
bmh,PG,OC
kyg,PG,OC
kij,PG,OC
geb,PG,OC
kiw,PG,OC
kpw,PG,OC
kpx,PG,OC
kpf,PG,OC
xbi-w,PG,OC
xbi-y,PG,OC
kxw,PG,OC
kpr,PG,OC
kze,PG,OC
kgf,PG,OC
kue,PG,OC
kvg,PG,OC
kup,PG,OC
kto,PG,OC
ktm,PG,OC
kwj,PG,OC
kmo,PG,OC
kwo,PG,OC
kyc,PG,OC
kql,PG,OC
lbb,PG,OC
nrz,PG,OC
lbv,PG,OC
uvl,PG,OC
mmx,PG,OC
mzz,PG,OC
mti,PG,OC
hot,PG,OC
mva,PG,OC
mle,PG,OC
tbf,PG,OC
mbh,PG,OC
mlh,PG,OC
dad,PG,OC
met,PG,OC
mhl,PG,OC
mna,PG,OC
mek,PG,OC
tpiOTNT,PG,OC
tpi,PG,OC
med,PG,OC
sim,PG,OC
mee,PG,OC
mcr,PG,OC
mxm,PG,OC
mpt,PG,OC
mpp,PG,OC
mvn,PG,OC
aai,PG,OC
kmh-m,PG,OC
mpx,PG,OC
mox,PG,OC
meu,PG,OC
hmo,PG,OC
aoj,PG,OC
kqa,PG,OC
emi,PG,OC
tuc-o,PG,OC
tuc-t,PG,OC
myw,PG,OC
nas,PG,OC
naf,PG,OC
nak,PG,OC
nss,PG,OC
nal,PG,OC
nmx,PG,OC
nvm,PG,OC
nsn,PG,OC
nif,PG,OC
anh,PG,OC
nii,PG,OC
nmws,PG,OC
gaw,PG,OC
tbg-a,PG,OC
ncf,PG,OC
klt,PG,OC
nuq,PG,OC
nop,PG,OC
lid,PG,OC
kkc,PG,OC
eri,PG,OC
opm,PG,OC
ong,PG,OC
aom,PG,OC
omw-v,PG,OC
ons,PG,OC
okvh,PG,OC
okv,PG,OC
ptp,PG,OC
gfkh,PG,OC
gfk,PG,OC
gfks,PG,OC
ata,PG,OC
byx,PG,OC
rai,PG,OC
rwo-karo,PG,OC
rwo-rawa,PG,OC
roo,PG,OC
apz,PG,OC
sbe,PG,OC
sll,PG,OC
snx,PG,OC
sny,PG,OC
sps,PG,OC
ssg,PG,OC
spl,PG,OC
ssx,PG,OC
snp,PG,OC
snp-lambau,PG,OC
snc,PG,OC
xsi,PG,OC
ssd,PG,OC
six,PG,OC
bmu,PG,OC
urw,PG,OC
omw-a,PG,OC
swp,PG,OC
tgo,PG,OC
sue,PG,OC
sua,PG,OC
sgz,PG,OC
knv-aramia,PG,OC
knv-fly_river,PG,OC
taw,PG,OC
tbg,PG,OC
omw,PG,OC
tbc,PG,OC
nho,PG,OC
tpa,PG,OC
tbo,PG,OC
tlf,PG,OC
tif,PG,OC
tim,PG,OC
tpz,PG,OC
iou,PG,OC
lcm,PG,OC
ksj,PG,OC
ubr,PG,OC
gdn,PG,OC
ubu-andelale,PG,OC
ubu-kala,PG,OC
ubu-nopenge,PG,OC
uro,PG,OC
urt,PG,OC
uvh,PG,OC
urim,PG,OC
uri,PG,OC
wnu,PG,OC
usa,PG,OC
wiv,PG,OC
waj,PG,OC
fad,PG,OC
rro,PG,OC
wnc,PG,OC
wrs,PG,OC
hrw,PG,OC
wsk,PG,OC
wed,PG,OC
wed-topura,PG,OC
wer,PG,OC
kew,PG,OC
gdr,PG,OC
wiu,PG,OC
abt-wosera,PG,OC
wuv,PG,OC
jae,PG,OC
nce,PG,OC
ymp,PG,OC
yrb,PG,OC
yuw,PG,OC
yby,PG,OC
yle,PG,OC
yss-yamano,PG,OC
yss-yawu,PG,OC
byr-w,PG,OC
yon,PG,OC
yut,PG,OC
zia,PG,OC
mca,PY,SA
acuNT,PE,SA
agr,PE,SA
cpcNT,PE,SA
amrNT,PE,SA
arlNT,PE,SA
cniNT,PE,SA
cjoNT,PE,SA
prq,PE,SA
cpuNT,PE,SA
cpy,PE,SA
cpbNT,PE,SA
boaNT,PE,SA
cbuNT,PE,SA
kaqNT,PE,SA
cotNT,PE,SA
cbrNT,PE,SA
cbtNTpo,PE,SA
hubNT,PE,SA
huuNT,PE,SA
cbsNT,PE,SA
mcbNT,PE,SA
mcfNT,PE,SA
notNT,PE,SA
qva,PE,SA
qvcNT,PE,SA
qveNT,PE,SA
qub,PE,SA
qvhNT,PE,SA
qwhNT,PE,SA
qvwNT,PE,SA
qufNT,PE,SA
qvmNT,PE,SA
qvo,PE,SA
qvnNT,PE,SA
qxnNT,PE,SA
qxhNT,PE,SA
qvsNT,PE,SA
qxoNT,PE,SA
qupNT,PE,SA
mcdNT,PE,SA
shpNTpo,PE,SA
tcaNT,PE,SA
uraNT,PE,SA
yadNT,PE,SA
yaaNT,PE,SA
ameNT,PE,SA
pibNT,PE,SA
dgc,PH,AS
agt,PH,AS
duo,PH,AS
due,PH,AS
agn,PH,AS
ify,PH,AS
att,PH,AS
abp,PH,AS
abc,PH,AS
sgb,PH,AS
blx,PH,AS
blw,PH,AS
bno,PH,AS
ifb,PH,AS
bkd,PH,AS
bpr,PH,AS
bps,PH,AS
smkNT,PH,AS
lbk,PH,AS
ebk,PH,AS
sbl,PH,AS
plw,PH,AS
kyb,PH,AS
clu,PH,AS
cebulb,PH,AS
cebocb,PH,AS
sml,PH,AS
syb,PH,AS
cbk,PH,AS
did,PH,AS
mbd,PH,AS
gdg,PH,AS
ibl,PH,AS
ivb,PH,AS
ifa,PH,AS
ifu,PH,AS
ifk,PH,AS
iloulb,PH,AS
hil,PH,AS
abx,PH,AS
isd,PH,AS
ivv,PH,AS
cgc,PH,AS
kqe,PH,AS
kqew,PH,AS
kmk,PH,AS
ksc,PH,AS
kne,PH,AS
xnn,PH,AS
krj,PH,AS
mmn,PH,AS
msmNT,PH,AS
atdNT,PH,AS
mta,PH,AS
mbi,PH,AS
mbtNT,PH,AS
oboNT,PH,AS
mbs,PH,AS
mbbOT,PH,AS
msk,PH,AS
msb,PH,AS
prfNT,PH,AS
rol,PH,AS
slm,PH,AS
xsb,PH,AS
stb,PH,AS
suc,PH,AS
bgs,PH,AS
klg,PH,AS
tglulb,PH,AS
tbk,PH,AS
tsg,PH,AS
tblNT,PH,AS
tiy,PH,AS
yka,PH,AS
epo,PL,EU
polsz,PL,EU
polubg,PL,EU
ron1924,RO,EU
ronbtf,RO,EU
ronlsb,RO,EU
kca,RU,EU
russyn,RU,EU
acfNT,ST,AF
bqj,SN,AF
krx,SN,AF
knf,SN,AF
ndv,SN,AF
snf,SN,AF
bsc,SN,AF
sav,SN,AF
cou,SN,AF
wolmbs,SN,AF
wol2010,SN,AF
rmna,RS,EU
rmyArli,RS,EU
rmyChergash,RS,EU
rmyGurbet,RS,EU
srp1868,RS,EU
srp1865,RS,EU
srponspc,RS,EU
srponstl,RS,EU
rmc,SK,EU
slk,SK,EU
aia,SB,OC
bvd,SB,OC
bgt,SB,OC
far,SB,OC
nlg,SB,OC
ghn,SB,OC
gri,SB,OC
kwd,SB,OC
kwf,SB,OC
llu,SB,OC
lga,SB,OC
ntu,SB,OC
mnv,SB,OC
rug,SB,OC
apb,SB,OC
lgl,SB,OC
som,SO,AF
kor,KR,AS
pga,SS,AF
avu,SS,AF
bdh,SS,AF
bex,SS,AF
kbo,SS,AF
lwo,SS,AF
mgc,SS,AF
muh,SS,AF
mur,SS,AF
ndz,SS,AF
spaRV1909,ES,EU
sparvg,ES,EU
spablm,ES,EU
spavbl,ES,EU
spaLBLA,ES,EU
spanblh,ES,EU
spav1602p,ES,EU
dikNT,SD,AF
jum,SD,AF
xtc,SD,AF
lro,SD,AF
lmd,SD,AF
shj,SD,AF
udu,SD,AF
djkNT,SR,SA
hnsNT,SR,SA
jvnNT,SR,SA
srmNT,SR,SA
srnNT,SR,SA
swef,SE,EU
swe,SE,EU
swessb,SE,EU
tgk,TJ,AS
bou,TZ,AF
bds,TZ,AF
ikz,TZ,AF
isn,TZ,AF
reg,TZ,AF
zgam,TZ,AF
kiz,TZ,AF
zajp,TZ,AF
kdc,TZ,AF
kdc2014,TZ,AF
cwe,TZ,AF
ruf,TZ,AF
mgq,TZ,AF
mgv,TZ,AF
mgw,TZ,AF
mpa,TZ,AF
mwe,TZ,AF
ndh,TZ,AF
ndj,TZ,AF
dne,TZ,AF
ndg,TZ,AF
njd,TZ,AF
nww,TZ,AF
nnq,TZ,AF
xnj,TZ,AF
ngp,TZ,AF
nyy,TZ,AF
poy,TZ,AF
lag,TZ,AF
sbk,TZ,AF
swh1850,TZ,AF
swhonmm,TZ,AF
swhulb,TZ,AF
vid,TZ,AF
wbi,TZ,AF
zak,TZ,AF
zaj,TZ,AF
ziw,TZ,AF
zin,TZ,AF
lcp,TH,AS
thantv,TH,AS
thaKJV,TH,AS
nod,TH,AS
bkx,TL,AS
tdt,TL,AS
gngNT,TG,AF
kdh,TG,AF
num,TO,OC
ton,TO,OC
aeu,TN,AF
aeb,TN,AF
turobt,TR,EU
turytc,TR,EU
luc,UG,AF
rub,UG,AF
gwr,UG,AF
lug,UG,AF
nuj,UG,AF
tlj,UG,AF
lth,UG,AF
rmyvlakh,UA,EU
rmylovari,UA,EU
rmn,UA,EU
rmczrb,UA,EU
rmyservi,UA,EU
ukr1871,UA,EU
ukr1996,UA,EU
ukrfb,UA,EU
ukronpu,UA,EU
engamp,GB,EU
engaoi,GB,EU
engBBE,GB,EU
eng-Brenton,GB,EU
eng-uk-lxx2012,GB,EU
engDBY,GB,EU
engDRA,GB,EU
engemtv,GB,EU
engwyc2018,GB,EU
engwyc2017,GB,EU
enggnv,GB,EU
eng-kjv2006,GB,EU
eng-kjv,GB,EU
engkjvcpb,GB,EU
englee,GB,EU
engnoy,GB,EU
engoebcw,GB,EU
eng-rv,GB,EU
engoke,GB,EU
engojb,GB,EU
engtnt,GB,EU
engwebpb,GB,EU
eng-webbe,GB,EU
engwmbb,GB,EU
engWycliffe,GB,EU
engylt,GB,EU
apwNT,US,NA
arp,US,NA
eng-asv,US,NA
engasvbt,US,NA
enge2t,US,NA
englsv,US,NA
eng-glw,US,NA
eng-lxx2012,US,NA
engmsb,US,NA
engnasb,US,NA
engnet,US,NA
engourb,US,NA
engoebus,US,NA
engtcent,US,NA
eng-t4t,US,NA
engULB,US,NA
engwebster,US,NA
engwebp,US,NA
eng-web-c,US,NA
eng-web,US,NA
engwebu,US,NA
engwmb,US,NA
gwiNT,US,NA
hwc,US,NA
haw1868,US,NA
hopNT,US,NA
paoNT,US,NA
pdc,US,NA
gulNT,US,NA
tew,US,NA
oodNT,US,NA
engerv,US,NA
engbsb,US,NA
enggw,US,NA
engf35,US,NA
engfbv,US,NA
engjps,US,NA
englxxup,US,NA
eskNT,US,NA
omb,VU,OC
tvk,VU,OC
app,VU,OC
bki,VU,OC
lww,VU,OC
klv,VU,OC
tnk,VU,OC
tnn,VU,OC
pma,VU,OC
nwi,VU,OC
tgp,VU,OC
upv,VU,OC
tnp,VU,OC
latVUC,VA,EU
car,VE,SA
cmo,VN,AS
cmok,VN,AS
cje,VN,AS
hrebt,VN,AS
hre,VN,AS
blt,VN,AS
vieovcb,VN,AS
vie1934,VN,AS
vie2011,VN,AS
bwc,ZM,AF
lyn,ZM,AF
sby,ZM,AF
sna,ZW,AF
dov,ZW,AF
nde,ZW,AF
